,0,1,2,3,4
0,0.6934398654331371,0.6586826347305389,0.5928571428571429,0.125,1e-06
1,0.6934398654331371,0.6586826347305389,0.5928571428571429,0.125,1e-06
2,0.5349022736338253,0.29729729729729726,0.21212121212121213,0.125,0.0001
3,0.44940476190476186,0.34146341463414637,0.20588235294117646,1.0,1e-06
4,0.4369256474519633,0.42424242424242425,0.2692307692307692,0.125,1e-06
5,0.72,0.5839416058394161,0.4818181818181818,0.25,1e-05
6,0.4391983695652174,0.0,0.532258064516129,0.25,1e-05
7,0.45601173020527863,0.30303030303030304,0.2,1.0,1e-05
8,0.7422258592471358,0.3561643835616438,0.437125748502994,1.0,0.0001
9,0.05615904898544785,0.1954022988505747,0.125,0.125,1e-06
10,0.7384559884559885,0.4661654135338345,0.39316239316239315,0.5,1e-06
11,0.8750000000000001,0.7333333333333334,0.8095238095238095,0.5,1e-05
12,0.71625,0.8055555555555556,0.72,1.0,1e-06
13,0.9350877192982456,0.42696629213483145,0.35443037974683544,0.5,1e-05
14,0.49290966386554624,0.3448275862068965,0.24503311258278146,0.25,1e-05
